Winner,Player1,Player2,MatchID,Generation,Replay_Name,
CryoChick,CryoChick,DocteurOrangOutan,1.70018E+12,[Gen 7] IF Dex AG,cryochick-docteurorangoutan-1700175531819,
Littlemxdoom,the_shawdoin,Littlemxdoom,1.70018E+12,[Gen 9] IF NatDex Doubles,theshawdoin-littlemxdoom-1700176532451,
The Ice Age Master,ZeldaSheldon,The Ice Age Master,1.70018E+12,[Gen 9] IF NatDex AG,zeldasheldon-theiceagemaster-1700176829496,
HUEnd,Iceasaurus,HUEnd,1.70018E+12,[Gen 7] IF Dex AG,iceasaurus-huend-1700177321745,
0rc4n0s13,cheeto squid,0rc4n0s13,1.70018E+12,[Gen 7] IF Dex OU,cheetosquid-0rc4n0s13-1700177335594,
PlooshieBaird,Cloudstreef,PlooshieBaird,1.70018E+12,[Gen 7] IF Dex OU,cloudstreef-plooshiebaird-1700177910194,
0rc4n0s13,SmashMania,0rc4n0s13,1.70018E+12,[Gen 7] IF Dex OU,smashmania-0rc4n0s13-1700178028798,
The Ice Age Master,The Ice Age Master,Lng1234,1.70018E+12,[Gen 9] IF NatDex AG,theiceagemaster-lng1234-1700178097602,
0rc4n0s13,0rc4n0s13,MrOakwood,1.70018E+12,[Gen 7] IF Dex OU,0rc4n0s13-mroakwood-1700178664364,
Low-Key-G-Mazing,Low-Key-G-Mazing,0rc4n0s13,1.70018E+12,[Gen 7] IF Dex OU,lowkeygmazing-0rc4n0s13-1700178760867,
catsoup02,Cloudstreef,catsoup02,1.70018E+12,[Gen 7] IF Dex OU,cloudstreef-catsoup02-1700179357855,
Staros,Staros,MrOakwood,1.70018E+12,[Gen 7] IF Dex OU,staros-mroakwood-1700179736626,
HUEnd,Elemental9999,HUEnd,1.70018E+12,[Gen 7] IF Dex AG,elemental9999-huend-1700180383140,
TheLigmaConspiracy,TheLigmaConspiracy,Cloudstreef,1.70018E+12,[Gen 7] IF Dex OU,theligmaconspiracy-cloudstreef-1700180551859,
HUEnd,HUEnd,Jaydend327,1.70018E+12,[Gen 7] IF Dex AG,huend-jaydend327-1700180664206,
the_shawdoin,TinaTheAmazing,the_shawdoin,1.70018E+12,[Gen 9] IF NatDex OU,tinatheamazing-theshawdoin-1700181330535,
GarrukApexPredator,GarrukApexPredator,EgfKZ43KG6cW8AJF,1.70018E+12,[Gen 7] IF Dex OU,garrukapexpredator-egfkz43kg6cw8ajf-1700181453968,
TheLigmaConspiracy,TheLigmaConspiracy,sergiovicenteg3,1.70018E+12,[Gen 7] IF Dex OU,theligmaconspiracy-sergiovicenteg3-1700181510844,
FOG-Markos,FOG-Markos,Eternal Flame,1.70018E+12,[Gen 9] IF NatDex OU,fogmarkos-eternalflame-1700181594565,
HUEnd,Z4ifir,HUEnd,1.70018E+12,[Gen 7] IF Dex AG,z4ifir-huend-1700181685868,
Staros,jonj65,Staros,1.70018E+12,[Gen 7] IF Dex OU,jonj65-staros-1700181951334,
HUEnd,Iceasaurus,HUEnd,1.70018E+12,[Gen 7] IF Dex AG,iceasaurus-huend-1700181971991,
catsoup02,catsoup02,Ampharos670,1.70018E+12,[Gen 7] IF Dex OU,catsoup02-ampharos670-1700182592424,
yoshifanfic,yoshifanfic,GarrukApexPredator,1.70018E+12,[Gen 7] IF Dex OU,yoshifanfic-garrukapexpredator-1700183670428,
Staros,Staros,akuma_71,1.70018E+12,[Gen 7] IF Dex OU,staros-akuma71-1700183863531,
HUEnd,Jaycielantern,HUEnd,1.70018E+12,[Gen 7] IF Dex AG,jaycielantern-huend-1700184012285,
0rc4n0s13,0rc4n0s13,kirbystar123,1.70019E+12,[Gen 9] IF NatDex AG,0rc4n0s13-kirbystar123-1700185380917,
Staros,Normie43,Staros,1.70019E+12,[Gen 7] IF Dex OU,normie43-staros-1700185584629,
Littlemxdoom,FireSword2562,Littlemxdoom,1.70019E+12,[Gen 7] IF Dex Doubles,firesword2562-littlemxdoom-1700186700960,
Konotton,Konotton,Bananablunt,1.70019E+12,[Gen 7] IF Dex OU,konotton-bananablunt-1700187117824,
the_shawdoin,TinaTheAmazing,the_shawdoin,1.70019E+12,[Gen 9] IF NatDex OU,tinatheamazing-theshawdoin-1700187603509,
sliponabananapeel,sliponabananapeel,Base Liquids,1.70019E+12,[Gen 7] IF Dex OU,sliponabananapeel-baseliquids-1700188362669,
Kobe81pts,Kobe81pts,DeadByte9,1.70019E+12,[Gen 7] IF Dex AG,kobe81pts-deadbyte9-1700188396860,
Konotton,Konotton,Choosechee,1.70019E+12,[Gen 7] IF Dex OU,konotton-choosechee-1700188635920,
Konotton,Konotton,sliponabananapeel,1.70019E+12,[Gen 7] IF Dex OU,konotton-sliponabananapeel-1700189292636,
CookieGlob,the_shawdoin,CookieGlob,1.70019E+12,[Gen 9] IF NatDex OU,theshawdoin-cookieglob-1700189472633,
Kamuno,Kamuno,Dirt Donut,1.70019E+12,[Gen 7] IF Dex OU,kamuno-dirtdonut-1700190964629,
